,pH,Chloride,Sulfate,Sodium,Potassium,Magnesium,Calcium,Alkalinity,Barium,Chromium,Silicon,Strontium,Vanadium,Zinc
Keei A Deepwell,7.68,401,66,233,9,41.7,24.1,37,0,0.0012,21.41,0.20485,0.045,0.0934
Kukio R-O Feed,7.16,188.65,111.1,111.05,11.155,114.69,44.675,382,0.00775,0.00095,32.1075,0.099475,0.08695,0.012775
Huehue Ranch 5 ,7.11,84.5,314.4,165.4,9.4,138.4,48.3,486,0,0,27.635,0.0619,0.0747,0.07775
Huehue Ranch 2 ,6.94,200,69,114,11,100,45.98,358,0.0105,0.001,33.11,0.111,0.095,0.0082
Huehue Ranch 3 ,7.08,171,242,98,9,152.8,43.8,365,0.0018,0,28.34,0.07,0.075,0.00475
Fifty-One FT STP,7.875,1092,190.6,640.5,27.5,90.25,38.3,68.5,0.0053,0.0015,24.545,0.37245,0.1097,0.00545
Waikoloa Irr 3,8.03,568.4,116.86,340.6,15.9,59.14,21.6,66,0.0053,0.0029,23.87,0.2249,0.107333333,0.0016
DW-7,7.99,26.4,16.4,33,4,14.55,10.4,84,0.0036,0.00385,25.88,0.0441,0.051933333,0.0024
Waikoloa DW-6,7.97,128.2,41,97.4,8.05,27.2,15.38,111,0.0077,0.0037,26.3,0.08955,0.059766667,0.0021
Waikoloa 2,7.93,116,38,87,7,27.1,16.56,103,0.0075,0.00405,27.66,0.0887,0.0627,0.00185
Waikoloa 3,7.87,68,30.6,63.5,6.02,19.06,12.7,103,0.0035,0.00335,26.545,0.06495,0.063533333,0.0027
Parker 4,7.97,30,17.47,34.8,4.2,14.5,10.89,84,0.0023,0.004,25.67,0.0462,0.052766667,0.0016
Parker 5,8.19,28,16.6,34,4,12.9,9.9,82,0,0,31.99,0.048,0.055,0
NELHA Well #1,7.76,6236,909.6,3567.5,124,546.7,122,86,0,0,16.05,2.49575,0.049,0.00725
Keopu 2,8.375,6,8.65,13.85,2.875,6.07,11.935,50,0.00215,0.0014,18.2625,0.026775,0.046116667,0.050625
Keopu 1,10.77,609,85,332,18,1.2,124.4,39,0.0113,0,1.26,0.32795,0,0.0025
Kahaluu DW1 (96m),8.49,4910,640,2599,89,312.5,133.5,46,0,0,0,0,0,0
Kahaluu DW1 (115m),8.27,12635,1760,6901,221,1063.1,310.5,82,0,0,0,0,0,0
Parker #3 Deepwell,7.815,49.35,19.32,42.3,4.92,16.305,13.03,83,0.0048,0.00415,25.5775,0.05475,0.05345,0.001575
Waikoloa 1,8.015,27.85,16.4,32.05,4.005,14.4,11.115,84.5,0.0053,0.00425,25.9875,0.043775,0.05425,0.008475
Resort Irr 2 ,7.94,679,132,398,18,64.6,28.6,64,0.0153,0.0048,34.2,0.40635,0.1657,0.00975
Resort 1,8.04,730.95,136.65,441.5,19.46,73.16,23.85,66,0.00385,0.00345,22.465,0.2887,0.1124,0.004275
Nursery,7.905,1001.15,175.35,601.35,25.35,97.06,28.6,68,0.00575,0.0032,22.41,0.37465,0.103616667,0.0034
Keopu Deepwell,7.92,6.1,9.97,16.1,3.53,6.2,10.3,57,0.0012,0.002375,19.7125,0.02355,0.056116667,0.00775
Kohanaiki A46,7.11,4882.5,696.4,2733.15,98.46,442.91,123.825,71.5,0.0345,0,12.795,1.9605,0.029666667,0.015625
Kohanaiki A77,7.85,7646,1079,4212,146,684.8,195.2,91,0,0,14.68,3.08925,0,0.02325
Kohanaiki A120,8.2,8399,1217,4612,156,731.8,206.4,90,0,0,0,0,0,0
Kau (Makalei) Deepwell,7.305,238.8,64.65,129.7,13.415,76.03,42.395,245,0.01355,0.001575,30.6275,0.09955,0.101516667,0.07755
Kekaha Kai - Small Pool,7.5,6033.1,880.2,3523.2,127.8,516.85,117.78,128,0,0,19.56,2.364,0.072666667,0.007
Kekaha Kai - Kaelehuluhulu,7.73,7717.1,1109.6,4329,159,665.2,155.48,132,0.021,0,18.135,3.043,0.0735,0.003
Kekaha Kai - Kua Bay,8.04,3813.1,756.9,2330.8,89.4,490.02,70.24,398,0.0075,0.003,22.3,0.8845,0.071333333,0.008
Huehue Ranch 4,6.63,161.4,103.9,112.9,12.43,121.05,41.84,454,0.0043,0.0004,35.585,0.10105,0.074766667,0.0502
QLT A4N,7.44,,,,,,,,,,,,,
West Hawaii Landfill,8.02,991.1,176.3,595.7,27.2,98.51,30.1,74,0.0061,0.0039,20.8,0.3638,0.133133333,0.0151
Kohanaiki A48,7.74,3651.8,514.5,2063.6,77.27,293.92,69.96,62,0,0,12.745,1.2155,0.061,0.0055
Kahaluu DW,8.8,871.5,121.6,487.5,16.9,71.28,47.63,,0.0121,0.0005,8.12,0.54325,0.005,0.00425
Mouth ocean,7.915,9110.9,1324.75,5222.25,180.705,755.325,146.615,95.5,0,0.002,11.88125,3.273375,0.056583333,0.019375
Inside mouth channel,7.67,2049.05,314,1240.4,46.67,188.575,47.935,80.5,0.0054,0.00305,19.892,0.8203,0.142233333,0.00315
Kitchen corner inlet,7.43,1537.65,246.95,911.2,35.51,142.025,39.28,80,0.0056,0.0031,20.9355,0.6066,0.143133333,0.00745
Big Bridge,7.515,1705,266.05,1018.65,39.185,156.98,42.425,77,0.007,0.0039,20.6815,0.6674,0.147466667,0.00495
Back spring,7.68,1287.55,204.25,778.5,31.57,120.875,35.06,72.5,0.00575,0.0033,20.2375,0.495425,0.147033333,0.002
Makani Golf Course,8.01,65.6,60.86,65.85,4.245,14.495,20.63,77,0.0012,0.0033,19.0675,0.0569,0.135966667,0.022125
NELHA RODI,,0.09,0,0.05,0.01,0.1,0.2,,0.002,0,0,0,0,0.0019
